Student,LPIPS,SSIM
112598048.png,0.0,1.0
112598071.png,0.30873697996139526,0.6742983307032046
109590057.png,0.30920761823654175,0.7342778179795463
109590052.png,0.3304637372493744,0.7005337248736216
109590015.png,0.33436182141304016,0.6541497169184498
110590029.png,0.36572593450546265,0.7380835262512314
112598083.png,0.3784480690956116,0.6318300794557126
112598075.png,0.464307963848114,0.5890531762317238
